node_id,fragility_index,theta_deg,theta_fail,in_degree
55,3,0.32767484764065324,0.7350953599272356,6
56,2,0.25344917436766123,0.8038774336744491,4
57,2,0.2583120911110588,0.580521007376195,7
58,1,0.14619305152023104,0.6237556291907298,4
59,3,0.20607662050779713,0.676983054889584,7
60,1,0.24608530240589865,0.5141750922396909,3
61,1,0.30865462059959625,0.5415901404384009,3
62,1,0.4216263994096198,0.7161251274389305,3
63,2,0.3215233240723221,0.6069122027692765,4
64,1,0.3073088772814338,0.6953195162456074,3
65,1,0.3278320864825789,0.6385389728204237,3
66,3,0.18788092545871332,0.7734109908158747,7
67,1,0.3038704046976308,0.6774511182059496,6
68,3,0.23055088065075197,0.6633196648439199,5
69,1,0.25410235358060007,0.622303772613226,4
70,5,0.46290408939500993,0.5475639648079611,8
71,1,0.44778982374032916,0.4952233665403413,4
72,1,0.37817218362927413,0.9167341336544985,3
73,2,0.34344059447631575,0.6815147059559752,6
74,2,0.34028788997035814,0.7529874487378855,4
75,2,0.2227904910158401,0.5615810225625545,4
76,1,0.19956393004456244,0.6970123006109524,4
77,2,0.3267775945754883,0.6881848546415644,5
78,2,0.26422454056318334,0.5635878284036628,6
79,2,0.23786242108062672,0.8518054191019988,4
80,1,0.2935742080595307,0.7992376087034972,3
81,1,0.29420215207115324,0.6339468841397042,3
82,1,0.3151378674440312,0.7617511103881108,3
83,1,0.24083202571197626,0.7686297535255215,3
84,4,0.3013846327772064,0.7091059166003407,5
85,3,0.20085539460269144,0.7041189083754327,4
86,1,0.3981465832691026,0.6645873304286785,3
87,2,0.42153629443636487,0.6510899614666058,4
88,3,0.21164808158828058,0.5065629512930675,4
89,1,0.3341845851442772,0.6074991601866894,3
90,2,0.2823220463047166,0.6965926445132898,4
91,2,0.30909723405824596,0.6252731019495745,4
92,1,0.30502819547558035,0.7605782709910482,3
93,1,0.3954470565203828,0.6600716851135843,5
94,1,0.34426173277960426,0.5665074761899156,3
95,1,0.23051860880658553,0.5251253651627142,3
96,2,0.30641451990895985,0.5574999499703949,4
97,2,0.2985949911827996,0.6465198187770997,5
98,2,0.23614167165260752,0.628668847729421,5
99,2,0.3163470494381252,0.37804681818292585,6
100,1,0.29817685262030413,0.7042553143942586,3
101,2,0.4087419210813352,0.8092826011256993,4
102,2,0.2849702074620603,0.5806079876028861,4
103,2,0.3352794326270545,0.6965077095279697,4
104,1,0.12017037251839563,0.5728189254937753,3
105,2,0.1657911455952169,0.7802143473806408,4
106,2,0.32617843615406467,0.5702276459806601,5
107,2,0.31032392597323527,0.6321040558689625,4
108,1,0.37270553527554356,0.7939411817748525,3
109,2,0.2078205928600993,0.7436263456881439,4
110,1,0.2772144595182604,0.6184650056792161,3
111,1,0.10060979699894682,0.773630269662874,3
112,3,0.2330722317269127,0.7140274867771518,6
113,1,0.26533306914152205,0.7564563213388402,4
114,1,0.29224790210107615,0.8036452639818918,3
115,2,0.255617448651261,0.8133605930525319,3
116,1,0.3763283248887639,0.5611904425591926,3
117,1,0.18417471459688828,0.5667250710937659,3
118,1,0.1973522390327211,0.7029378642743057,3
119,2,0.33682855793988814,0.6200841105301376,4
120,1,0.26967111533760174,0.33511761903656273,3
121,2,0.406924098804904,0.7476024158306743,3
122,1,0.3551297701212444,0.5235188801007002,3
123,1,0.32661318274037043,0.620450369707529,3
124,1,0.16287312518712513,0.5816851524175255,3
125,1,0.2505912136010304,0.6150327672466266,3
126,1,0.32143886164505225,0.7124884801367954,3
127,1,0.248492387841338,0.4690597483686233,3
128,1,0.32257156895974143,0.6185456411227919,3
129,2,0.3239433194652697,0.4963663995870149,3
130,1,0.23349978068494437,0.6165201951015412,3
131,1,0.2109025636038343,0.6764047830218337,3
132,2,0.37739964900162626,0.7469717224226655,3
133,1,0.3038661353666374,0.6257771325217485,3
134,1,0.30439855306900426,0.898156005633399,3
135,1,0.37691499796651556,0.7431176599983511,3
136,1,0.43865651794407123,0.7735994094577501,3
137,1,0.07525189030091659,0.7239121093924495,3
138,1,0.4163678240401777,0.6242230749660365,3
139,1,0.37985228171603225,0.6023125735956494,3
140,1,0.27633849304256913,0.5586223554984043,3
141,1,0.39437198388498995,0.6531863396442001,3
142,1,0.2933201568403021,0.34566552674932266,3
143,1,0.4277693353254479,0.6013369765872769,3
144,1,0.39114438358606435,0.6467947898449372,3
145,1,0.332996996327618,0.5103499074082201,3
146,1,0.25019799281051347,0.5427219401829478,3
147,1,0.30698994659348916,0.690419347735026,3
148,1,0.22995899289338173,0.7105825104385185,3
149,2,0.24384075207486947,0.6811071343123669,3
