node_id,trial,cascade_size_frac,time_to_stability
13,8,0.0125,0
13,9,0.0125,0
13,10,1.0,23
13,11,0.0125,0
13,12,0.025,1
13,13,0.05,2
13,14,0.0125,0
13,15,0.0125,0
13,16,0.0875,3
13,17,0.15,3
13,18,1.0,21
13,19,0.05,3
13,20,0.0125,0
13,21,0.1625,6
13,22,0.0125,0
13,23,0.0125,0
13,24,0.0125,0
13,25,0.0125,0
13,26,0.0125,0
13,27,0.0125,0
13,28,0.0125,0
13,29,0.05,2
13,30,0.0125,0
13,31,0.0125,0
13,32,1.0,25
13,33,0.075,3
13,34,1.0,22
13,35,1.0,23
13,36,0.0125,0
13,37,0.075,3
13,38,0.025,1
13,39,0.0625,2
14,0,0.0125,0
14,1,0.025,1
14,2,0.0125,0
14,3,0.0625,2
14,4,0.0125,0
14,5,1.0,23
14,6,0.0125,0
14,7,0.0875,4
14,8,0.2125,8
14,9,0.0125,0
14,10,0.0125,0
14,11,0.0125,0
14,12,0.025,1
14,13,0.0125,0
14,14,0.175,8
14,15,0.0125,0
14,16,0.05,2
14,17,0.0125,0
14,18,1.0,19
14,19,1.0,27
14,20,0.05,2
14,21,0.05,2
14,22,0.0375,1
14,23,0.0125,0
14,24,1.0,26
14,25,0.0125,0
14,26,0.15,8
14,27,0.0125,0
14,28,0.0125,0
14,29,1.0,14
14,30,0.0125,0
14,31,0.1,6
14,32,0.0125,0
14,33,0.0125,0
14,34,0.0125,0
14,35,0.0125,0
14,36,0.0125,0
14,37,0.0125,0
14,38,0.025,1
14,39,0.0125,0
15,0,1.0,22
15,1,1.0,27
15,2,0.025,1
15,3,0.0875,2
15,4,1.0,26
15,5,1.0,33
15,6,0.0625,2
15,7,0.025,1
15,8,0.1,2
15,9,0.0625,2
15,10,1.0,24
15,11,0.0625,1
15,12,1.0,23
15,13,1.0,20
15,14,0.15,5
15,15,1.0,19
15,16,1.0,19
15,17,0.0875,5
15,18,0.0375,2
15,19,0.025,1
15,20,1.0,21
15,21,0.025,1
15,22,0.075,3
15,23,0.025,1
15,24,0.4,11
15,25,0.1,5
15,26,1.0,27
15,27,1.0,23
15,28,1.0,26
15,29,0.025,1
15,30,0.125,4
15,31,1.0,34
15,32,1.0,31
15,33,1.0,25
15,34,0.15,6
15,35,0.1,2
15,36,1.0,27
15,37,0.025,1
15,38,1.0,25
15,39,0.025,1
16,0,0.1375,3
16,1,1.0,24
16,2,1.0,23
16,3,1.0,20
16,4,1.0,25
16,5,0.0375,1
16,6,1.0,24
16,7,0.2875,10
16,8,1.0,25
16,9,1.0,24
16,10,1.0,30
16,11,1.0,20
16,12,0.0625,2
16,13,0.1,3
16,14,0.175,8
16,15,0.175,8
16,16,1.0,25
16,17,0.075,3
16,18,0.4125,12
16,19,1.0,27
16,20,0.0625,3
16,21,0.5375,17
16,22,1.0,22
16,23,0.1625,5
16,24,0.1,3
16,25,1.0,25
16,26,0.1,3
16,27,1.0,23
16,28,0.1,3
16,29,1.0,17
16,30,0.5,18
16,31,0.025,1
16,32,0.025,1
16,33,1.0,26
16,34,1.0,22
16,35,0.075,2
16,36,0.4,9
16,37,1.0,23
16,38,0.0625,2
16,39,0.025,1
17,0,1.0,27
17,1,1.0,27
17,2,0.025,1
17,3,1.0,23
17,4,0.025,1
17,5,0.1,3
17,6,0.025,1
17,7,0.025,1
17,8,1.0,25
17,9,0.075,5
17,10,0.1625,4
17,11,0.05,2
17,12,1.0,35
17,13,0.125,3
17,14,1.0,28
17,15,0.025,1
17,16,0.0875,3
17,17,0.025,1
17,18,0.0375,1
17,19,0.075,3
17,20,0.0875,4
17,21,1.0,24
17,22,1.0,24
17,23,1.0,26
17,24,0.0875,3
17,25,0.025,1
17,26,0.0625,2
17,27,0.0625,2
17,28,1.0,25
17,29,0.05,1
17,30,0.05,2
17,31,0.1875,5
17,32,1.0,22
17,33,0.025,1
17,34,1.0,25
17,35,0.025,1
17,36,0.025,1
17,37,0.1125,6
17,38,0.025,1
17,39,0.075,2
18,0,0.025,1
18,1,0.025,1
18,2,0.0375,2
18,3,0.3375,10
18,4,0.0875,6
18,5,1.0,26
18,6,0.025,1
18,7,1.0,24
18,8,0.0375,1
18,9,1.0,18
18,10,0.025,1
18,11,0.2,8
18,12,1.0,25
18,13,0.1375,6
18,14,0.0375,2
18,15,0.0375,2
18,16,0.0875,4
18,17,0.0375,1
18,18,1.0,22
18,19,0.125,4
18,20,1.0,26
18,21,1.0,23
18,22,0.025,1
18,23,0.025,1
18,24,0.05,3
18,25,0.1125,5
18,26,1.0,25
18,27,1.0,22
18,28,0.025,1
18,29,0.125,7
18,30,0.025,1
18,31,0.0875,3
18,32,0.05,2
18,33,1.0,24
18,34,0.0875,4
18,35,0.025,1
18,36,0.05,2
18,37,0.025,1
18,38,0.0625,4
18,39,0.025,1
19,0,0.025,1
19,1,0.225,6
19,2,0.0375,1
19,3,0.025,2
19,4,0.0625,4
19,5,0.025,1
19,6,0.0375,1
19,7,0.025,1
19,8,0.025,1
19,9,1.0,19
19,10,1.0,24
19,11,0.025,1
19,12,0.0375,1
19,13,1.0,26
19,14,0.1,4
19,15,1.0,21
19,16,0.025,1
19,17,1.0,23
19,18,0.025,1
19,19,0.0625,2
19,20,0.025,1
19,21,0.025,1
19,22,0.125,6
19,23,0.025,1
19,24,1.0,26
19,25,0.0375,1
19,26,0.05,2
19,27,1.0,19
19,28,0.025,1
19,29,0.3875,9
19,30,0.025,1
19,31,0.0625,3
19,32,1.0,24
19,33,0.025,2
19,34,0.0375,1
19,35,1.0,26
19,36,0.05,2
19,37,0.05,3
19,38,1.0,25
19,39,0.0875,2
20,0,1.0,26
20,1,1.0,17
20,2,0.2,8
